 Accomplished Automaton;$0.11
 Acrobatic Maneuver;$0.12
 Aerial Responder;$0.26
 Aether Hub;$3.75
 Aether Meltdown;$0.15
 Aether Theorist;$0.11
 Aether Tradewinds;$0.12
 Aetherborn Marauder;$0.12
 Aetherflux Reservoir;$1.31
 Aethersquall Ancient;$0.26
 Aetherstorm Roc;$0.32
 Aethertorch Renegade;$0.14
 Aetherworks Marvel;$8.36
 Ambitious Aetherborn;$0.13
 Angel of Invention;$3.10
 Animation Module;$0.61
 Appetite for the Unnatural;$0.12
 Aradara Express;$0.10
 Arborback Stomper;$0.12
 Architect of the Untamed;$0.43
 Armorcraft Judge;$0.11
 Attune with Aether;$0.14
 Authority of the Consuls;$1.24
 Aviary Mechanic;$0.12
 Ballista Charger;$0.11
 Bastion Mastodon;$0.14
 Blooming Marsh;$4.66
 Blossoming Defense;$0.85
 Bomat Bazaar Barge;$0.12
 Bomat Courier;$1.00
 Botanical Sanctum;$3.99
 Brazen Scourge;$0.13
 Bristling Hydra;$2.52
 Built to Last;$0.11
 Built to Smash;$0.13
 Captured by the Consulate;$0.19
 Cataclysmic Gearhulk;$4.47
 Cathartic Reunion;$0.15
 Ceremonious Rejection;$0.77
 Chandra's Pyrohelix;$0.12
 Chandra, Pyrogenius;$5.10
 Chandra, Torch of Defiance;$21.16
 Chief of the Foundry;$0.14
 Cloudblazer;$0.16
 Cogworker's Puzzleknot;$0.11
 Combustible Gearhulk;$4.94
 Commencement of Festivities;$0.11
 Concealed Courtyard;$4.00
 Confiscation Coup;$0.31
 Consul's Shieldguard;$0.15
 Consulate Skygate;$0.12
 Consulate Surveillance;$0.15
 Contraband Kingpin;$0.18
 Cowl Prowler;$0.13
 Creeping Mold;$0.13
 Cultivator of Blades;$0.21
 Cultivator's Caravan;$1.38
 Curio Vendor;$0.14
 Deadlock Trap;$0.49
 Decoction Module;$0.18
 Demolish;$0.13
 Demolition Stomper;$0.12
 Demon of Dark Schemes;$2.02
 Depala, Pilot Exemplar;$1.87
 Dhund Operative;$0.12
 Diabolic Tutor;$0.17
 Die Young;$0.12
 Disappearing Act;$0.17
 Dovin Baan;$7.98
 Dramatic Reversal;$0.11
 Dubious Challenge;$0.24
 Dukhara Peafowl;$0.13
 Dukhara Scavenger;$0.14
 Durable Handicraft;$0.12
 Dynavolt Tower;$1.53
 Eager Construct;$0.11
 Eddytrail Hawk;$0.11
 Electrostatic Pummeler;$3.52
 Elegant Edgecrafters;$0.12
 Eliminate the Competition;$0.21
 Embraal Bruiser;$0.12
 Empyreal Voyager;$0.12
 Engineered Might;$0.11
 Era of Innovation;$0.14
 Essence Extraction;$0.20
 Experimental Aviator;$0.13
 Fabrication Module;$0.16
 Failed Inspection;$0.14
 Fairgrounds Trumpeter;$0.12
 Fairgrounds Warden;$0.23
 Fateful Showdown;$0.28
 Filigree Familiar;$0.69
 Fireforger's Puzzleknot;$0.12
 Flame Lash;$1.01
 Fleetwheel Cruiser;$1.90
 Fortuitous Find;$0.11
 Foundry Inspector;$0.33
 Foundry Screecher;$0.14
 Fragmentize;$0.15
 Fretwork Colony;$0.13
 Fumigate;$2.27
 Furious Reprisal;$0.12
 Gearseeker Serpent;$0.12
 Gearshift Ace;$0.13
 Ghirapur Guide;$0.14
 Ghirapur Orrery;$0.52
 Giant Spectacle;$0.12
 Glassblower's Puzzleknot;$0.12
 Glimmer of Genius;$0.52
 Glint-Nest Crane;$0.30
 Glint-Sleeve Artisan;$0.11
 Gonti, Lord of Luxury;$0.62
 Guardian of the Great Conduit;$0.21
 Harnessed Lightning;$2.25
 Harsh Scrutiny;$0.28
 Hazardous Conditions;$0.12
 Herald of the Fair;$0.14
 Highspire Artisan;$0.13
 Hightide Hermit;$0.14
 Hijack;$0.11
 Hunt the Weak;$0.13
 Impeccable Timing;$0.11
 Incendiary Sabotage;$0.12
 Insidious Will;$0.48
 Inspired Charge;$0.14
 Inspiring Vantage;$6.69
 Inventor's Apprentice;$0.48
 Inventor's Goggles;$0.10
 Inventors' Fair;$1.00
 Iron League Steed;$0.12
 Janjeet Sentry;$0.14
 Kambal, Consul of Allocation;$0.79
 Key to the City;$0.60
 Kujar Seedsculptor;$0.11
 Larger Than Life;$0.12
 Lathnu Hellion;$1.24
 Lawless Broker;$0.13
 Liberating Combustion;$0.51
 Live Fast;$0.13
 Long-Finned Skywhale;$0.14
 Longtusk Cub;$0.30
 Lost Legacy;$0.61
 Madcap Experiment;$0.51
 Make Obsolete;$0.12
 Malfunction;$0.14
 Marionette Master;$0.28
 Master Trinketeer;$0.36
 Maulfist Doorbuster;$0.13
 Maulfist Squad;$0.13
 Metallurgic Summonings;$4.68
 Metalspinner's Puzzleknot;$0.11
 Metalwork Colossus;$1.94
 Midnight Oil;$0.24
 Mind Rot;$0.12
 Minister of Inquiries;$0.16
 Morbid Curiosity;$0.17
 Multiform Wonder;$0.25
 Narnam Cobra;$0.12
 Nature's Way;$0.13
 Night Market Lookout;$0.11
 Nimble Innovator;$0.14
 Ninth Bridge Patrol;$0.12
 Nissa, Nature's Artisan;$5.57
 Nissa, Vital Force;$10.83
 Noxious Gearhulk;$7.94
 Ornamental Courage;$0.11
 Ovalchase Daredevil;$0.10
 Ovalchase Dragster;$0.14
 Oviya Pashiri, Sage Lifecrafter;$0.31
 Padeem, Consul of Innovation;$0.35
 Panharmonicon;$4.11
 Paradoxical Outcome;$0.61
 Peema Outrider;$0.12
 Perpetual Timepiece;$0.14
 Pia Nalaar;$1.64
 Prakhata Club Security;$0.14
 Prakhata Pillar-Bug;$0.13
 Pressure Point;$0.13
 Propeller Pioneer;$0.13
 Prophetic Prism;$0.12
 Quicksmith Genius;$0.12
 Rashmi, Eternities Crafter;$2.45
 Reckless Fireweaver;$0.11
 Refurbish;$0.19
 Renegade Firebrand;$0.22
 Renegade Freighter;$0.12
 Renegade Tactics;$0.12
 Restoration Gearsmith;$0.11
 Revoke Privileges;$0.12
 Revolutionary Rebuff;$0.14
 Riparian Tiger;$0.13
 Ruinous Gremlin;$0.12
 Rush of Vitality;$0.11
 Sage of Shaila's Claim;$0.11
 Saheeli Rai;$7.58
 Saheeli's Artistry;$0.26
 Salivating Gremlins;$0.10
 Scrapheap Scrounger;$2.99
 Select for Inspection;$0.11
 Self-Assembler;$0.11
 Sequestered Stash;$0.12
 Servant of the Conduit;$0.62
 Servo Exhibition;$0.17
 Shrewd Negotiation;$0.10
 Sky Skiff;$0.12
 Skyship Stalker;$0.26
 Skysovereign, Consul Flagship;$7.99
 Skyswirl Harrier;$0.14
 Skywhaler's Shot;$0.19
 Smuggler's Copter;$15.91
 Snare Thopter;$0.12
 Spark of Creativity;$0.13
 Speedway Fanatic;$0.19
 Spirebluff Canal;$9.35
 Spireside Infiltrator;$0.12
 Spontaneous Artist;$0.12
 Start Your Engines;$0.11
 Stone Quarry;$0.25
 Subtle Strike;$0.11
 Syndicate Trafficker;$0.33
 Take Down;$0.10
 Tasseled Dromedary;$0.13
 Terrain Elemental;$0.32
 Territorial Gorger;$0.23
 Terror of the Fairgrounds;$0.14
 Tezzeret's Ambition;$0.14
 Thriving Grubs;$0.12
 Thriving Ibex;$0.13
 Thriving Rats;$0.12
 Thriving Rhino;$0.10
 Thriving Turtle;$0.11
 Tidy Conclusion;$0.11
 Toolcraft Exemplar;$2.14
 Torch Gauntlet;$0.14
 Torrential Gearhulk;$20.20
 Trusty Companion;$0.15
 Underhanded Designs;$0.12
 Unlicensed Disintegration;$0.59
 Vedalken Blademaster;$0.14
 Verdant Crescendo;$1.02
 Verdurous Gearhulk;$14.00
 Veteran Motorist;$0.34
 Visionary Augmenter;$0.13
 Voltaic Brawler;$0.64
 Wayward Giant;$0.14
 Weaponcraft Enthusiast;$0.12
 Weldfast Monitor;$0.14
 Weldfast Wingsmith;$0.14
 Welding Sparks;$0.10
 Whirler Virtuoso;$0.13
 Whirlermaker;$0.12
 Wild Wanderer;$0.12
 Wildest Dreams;$0.28
 Wily Bandar;$0.14
 Wind Drake;$0.14
 Wispweaver Angel;$0.15
 Woodland Stream;$0.20
 Woodweaver's Puzzleknot;$0.14
 Workshop Assistant;$0.10
