 Abomination of Gudul;$0.14
 Abzan Ascendancy;$0.28
 Abzan Banner;$0.14
 Abzan Battle Priest;$0.18
 Abzan Charm;$0.29
 Abzan Falconer;$0.17
 Abzan Guide;$0.14
 Act of Treason;$0.14
 Ainok Bond-Kin;$0.14
 Ainok Tracker;$0.14
 Alabaster Kirin;$0.14
 Alpine Grizzly;$0.14
 Altar of the Brood;$0.61
 Anafenza, the Foremost;$1.46
 Ankle Shanker;$0.28
 Arc Lightning;$0.19
 Archers' Parapet;$0.14
 Armament Corps;$0.20
 Arrow Storm;$0.14
 Ashcloud Phoenix;$0.69
 Avalanche Tusker;$0.27
 Awaken the Bear;$0.15
 Barrage of Boulders;$0.14
 Bear's Companion;$0.20
 Become Immense;$0.87
 Bellowing Saddlebrute;$0.20
 Bitter Revelation;$0.14
 Blinding Spray;$0.20
 Bloodfell Caves;$0.14
 Bloodfire Expert;$0.14
 Bloodfire Mentor;$0.14
 Bloodsoaked Champion;$0.57
 Bloodstained Mire;$13.27
 Blossoming Sands;$0.13
 Brave the Sands;$0.25
 Briber's Purse;$0.20
 Bring Low;$0.15
 Burn Away;$0.20
 Butcher of the Horde;$0.36
 Cancel;$0.14
 Canyon Lurkers;$0.14
 Chief of the Edge;$0.20
 Chief of the Scale;$0.19
 Clever Impersonator;$3.99
 Crackling Doom;$0.51
 Cranial Archive;$0.19
 Crater's Claws;$0.36
 Crippling Chill;$0.14
 Dazzling Ramparts;$0.20
 Dead Drop;$0.20
 Death Frenzy;$0.20
 Debilitating Injury;$0.14
 Defiant Strike;$0.14
 Deflecting Palm;$0.79
 Despise;$0.20
 Dig Through Time;$1.02
 Disdainful Stroke;$0.15
 Dismal Backwater;$0.15
 Disowned Ancestor;$0.14
 Dragon Grip;$0.20
 Dragon Throne of Tarkir;$0.31
 Dragon's Eye Savants;$0.20
 Dragon-Style Twins;$0.32
 Dragonscale Boon;$0.14
 Duneblast;$0.31
 Dutiful Return;$0.14
 Efreet Weaponmaster;$0.14
 Embodiment of Spring;$0.14
 Empty the Pits;$0.72
 End Hostilities;$0.41
 Erase;$0.14
 Feat of Resistance;$0.14
 Feed the Clan;$0.16
 Firehoof Cavalry;$0.15
 Flooded Strand;$14.80
 Flying Crane Technique;$0.31
 Force Away;$0.14
 Frontier Bivouac;$0.28
 Ghostfire Blade;$0.65
 Glacial Stalker;$0.14
 Goblinslide;$0.19
 Grim Haruspex;$0.32
 Gurmag Swiftwing;$0.18
 Hardened Scales;$1.68
 Heart-Piercer Bow;$0.20
 Heir of the Wilds;$0.19
 Herald of Anafenza;$0.32
 High Sentinels of Arashin;$0.29
 Highland Game;$0.15
 Highspire Mantis;$0.20
 Hooded Hydra;$1.07
 Hooting Mandrills;$0.15
 Horde Ambusher;$0.20
 Hordeling Outburst;$0.66
 Howl of the Horde;$0.32
 Icefeather Aven;$0.19
 Icy Blast;$0.33
 Incremental Growth;$0.19
 Ivorytusk Fortress;$0.31
 Jeering Instigator;$0.28
 Jeskai Ascendancy;$0.70
 Jeskai Banner;$0.14
 Jeskai Charm;$0.24
 Jeskai Elder;$0.20
 Jeskai Student;$0.14
 Jeskai Windscout;$0.14
 Jungle Hollow;$0.14
 Kheru Bloodsucker;$0.20
 Kheru Dreadmaw;$0.14
 Kheru Lich Lord;$0.27
 Kheru Spellsnatcher;$0.31
 Kill Shot;$0.15
 Kin-Tree Invocation;$0.19
 Kin-Tree Warden;$0.14
 Krumar Bond-Kin;$0.14
 Leaping Master;$0.14
 Lens of Clarity;$0.14
 Longshot Squad;$0.15
 Mantis Rider;$0.49
 Mardu Ascendancy;$0.32
 Mardu Banner;$0.14
 Mardu Blazebringer;$0.20
 Mardu Charm;$0.22
 Mardu Hateblade;$0.14
 Mardu Heart-Piercer;$0.20
 Mardu Hordechief;$0.14
 Mardu Roughrider;$0.20
 Mardu Skullhunter;$0.14
 Mardu Warshrieker;$0.15
 Master of Pearls;$0.29
 Master the Way;$0.20
 Meandering Towershell;$0.28
 Mer-Ek Nightblade;$0.18
 Mindswipe;$0.29
 Mistfire Weaver;$0.20
 Molting Snakeskin;$0.15
 Monastery Flock;$0.14
 Monastery Swiftspear;$1.84
 Murderous Cut;$0.29
 Mystic Monastery;$0.36
 Mystic of the Hidden Way;$0.14
 Narset, Enlightened Master;$0.92
 Naturalize;$0.14
 Necropolis Fiend;$0.30
 Nomad Outpost;$0.35
 Opulent Palace;$0.28
 Pearl Lake Ancient;$0.69
 Pine Walker;$0.20
 Polluted Delta;$15.65
 Ponyback Brigade;$0.14
 Quiet Contemplation;$0.20
 Raiders' Spoils;$0.20
 Rakshasa Deathdealer;$0.36
 Rakshasa Vizier;$0.28
 Rakshasa's Secret;$0.14
 Rattleclaw Mystic;$0.61
 Retribution of the Ancients;$0.29
 Ride Down;$0.19
 Rite of the Serpent;$0.14
 Riverwheel Aerialists;$0.20
 Roar of Challenge;$0.20
 Rotting Mastodon;$0.14
 Rugged Highlands;$0.15
 Rush of Battle;$0.14
 Ruthless Ripper;$0.19
 Sage of the Inward Eye;$0.26
 Sage-Eye Harrier;$0.14
 Sagu Archer;$0.14
 Sagu Mauler;$0.33
 Salt Road Patrol;$0.15
 Sandsteppe Citadel;$0.50
 Sarkhan, the Dragonspeaker;$2.49
 Savage Knuckleblade;$0.30
 Savage Punch;$0.14
 Scaldkin;$0.14
 Scion of Glaciers;$0.20
 Scoured Barrens;$0.14
 Scout the Borders;$0.15
 Secret Plans;$0.18
 See the Unwritten;$0.87
 Seek the Horizon;$0.19
 Seeker of the Way;$0.24
 Set Adrift;$0.19
 Shambling Attendants;$0.14
 Shatter;$0.15
 Sidisi's Pet;$0.15
 Sidisi, Brood Tyrant;$0.87
 Siege Rhino;$1.31
 Siegecraft;$0.15
 Singing Bell Strike;$0.15
 Smite the Monstrous;$0.14
 Smoke Teller;$0.15
 Snowhorn Rider;$0.14
 Sorin, Solemn Visitor;$3.80
 Stubborn Denial;$0.35
 Sultai Ascendancy;$0.28
 Sultai Banner;$0.14
 Sultai Charm;$0.22
 Sultai Flayer;$0.20
 Sultai Scavenger;$0.13
 Sultai Soothsayer;$0.20
 Summit Prowler;$0.14
 Surrak Dragonclaw;$0.90
 Suspension Field;$0.21
 Swarm of Bloodflies;$0.20
 Swift Kick;$0.14
 Swiftwater Cliffs;$0.14
 Taigam's Scheming;$0.14
 Take Up Arms;$0.20
 Temur Ascendancy;$0.31
 Temur Banner;$0.14
 Temur Charger;$0.20
 Temur Charm;$0.21
 Thornwood Falls;$0.14
 Thousand Winds;$0.30
 Throttle;$0.14
 Timely Hordemate;$0.20
 Tomb of the Spirit Dragon;$0.25
 Tormenting Voice;$0.14
 Trail of Mystery;$0.31
 Tranquil Cove;$0.16
 Trap Essence;$0.27
 Treasure Cruise;$0.21
 Trumpet Blast;$0.15
 Tusked Colossodon;$0.14
 Tuskguard Captain;$0.19
 Ugin's Nexus;$0.75
 Unyielding Krumar;$0.14
 Utter End;$0.73
 Valley Dasher;$0.15
 Venerable Lammasu;$0.21
 Villainous Wealth;$0.32
 War Behemoth;$0.15
 War-Name Aspirant;$0.23
 Warden of the Eye;$0.20
 Watcher of the Roost;$0.20
 Waterwhirl;$0.20
 Weave Fate;$0.14
 Wetland Sambar;$0.14
 Whirlwind Adept;$0.14
 Wind-Scarred Crag;$0.14
 Windstorm;$0.20
 Windswept Heath;$11.74
 Wingmate Roc;$1.16
 Winterflame;$0.22
 Witness of the Ages;$0.20
 Wooded Foothills;$15.87
 Woolly Loxodon;$0.15
 Zurgo Helmsmasher;$0.64
